--, --, --
32.000000, 32.000000, 32.000000
29,-76,-17
40,-51,-3
38,-43,-2
39,-40,-6
47,-44,-6
50,-47,-2
35,-46,-18
28,-45,-21
40,-45,-18
50,-46,-18
59,-45,-11
52,-40,-8
38,-37,-13
40,-37,-9
59,-48,2
59,-51,8
58,-52,10
52,-51,8
50,-52,12
46,-56,29
41,-55,35
29,-43,41
25,-40,44
28,-39,50
24,-36,49
16,-25,45
14,-20,44
21,-21,50
19,-12,49
18,-14,43
17,-8,38
20,-7,38
26,-3,36
28,-2,37
29,2,40
28,5,38
35,2,40
34,2,44
31,7,43
33,12,45
40,11,46
38,8,48
32,9,48
41,11,48
45,11,47
43,13,46
43,15,42
42,16,42
38,16,43
45,12,49
40,15,42
43,15,41
41,17,46
40,17,46
36,18,42
34,19,40
39,18,39
43,18,41
47,15,41
47,16,39
51,14,38
56,13,39
56,12,39
53,13,36
50,12,34
46,13,30
48,14,29
62,11,34
57,13,32
48,15,27
53,15,28
55,17,29
56,15,31
58,14,33
53,15,27
53,15,25
54,16,23
55,16,22
59,17,22
60,17,21
58,17,17
58,17,18
57,16,20
56,17,21
57,17,22
57,18,20
56,18,20
57,19,20
56,19,19
57,17,19
56,16,19
58,17,17
58,18,16
57,19,18
57,18,18
57,18,18
57,19,18
57,19,18
58,19,19
58,18,17
57,18,18
57,18,17
56,18,16
57,18,16
57,19,17
59,19,17
62,18,16
58,17,14
57,17,15
58,19,16
60,20,14
64,18,21
54,18,12
67,20,18
71,20,22
71,21,31
58,23,32
43,25,30
38,26,28
41,25,30
43,25,30
42,27,28
41,27,31
40,26,36
38,23,43
34,24,43
28,27,42
28,29,37
22,30,29
40,33,26
42,33,24
43,32,22
45,29,20
50,28,10
44,31,7
52,25,5
61,24,4
66,24,12
69,23,18
63,25,17
44,25,9
43,23,7
58,25,13
83,30,20
77,16,13
56,21,9
48,28,11
52,21,13
59,20,17
61,22,15
59,22,7
62,21,5
61,20,4
62,20,5
59,20,7
61,20,9
59,20,9
58,22,10
57,21,12
57,21,13
58,21,14
58,21,15
59,21,14
57,20,13
58,20,12
58,19,12
57,19,13
58,19,13
58,20,14
58,20,13
60,22,15
57,20,14
57,20,14
58,19,14
58,20,12
59,21,10
59,21,10
59,21,11
59,20,11
58,19,12
58,19,12
59,19,11
59,19,12
57,20,13
58,20,13
59,20,13
59,20,13
58,19,12
59,19,12
59,19,13
58,20,12
58,20,12
59,20,14
60,20,14
57,19,13
57,20,13
58,20,14
58,20,16
58,19,16
56,19,14
56,19,15
57,20,14
58,20,14
58,20,14
58,20,13
56,21,14
57,21,15
58,20,14
59,22,14
57,21,13
57,20,14
57,20,14
59,21,14
57,21,14
57,21,14
59,21,14
58,21,14
58,21,16
60,22,17
55,24,13
56,24,11
60,22,9
63,21,8
58,22,6
59,23,6
58,23,5
57,23,6
52,23,8
49,23,9
49,21,12
58,20,22
69,18,19
49,21,12
57,21,16
60,22,14
59,23,12
57,24,12
57,24,10
60,24,12
58,24,12
57,24,12
58,23,13
57,23,13
57,22,14
58,22,14
56,21,14
56,21,13
57,22,12
58,22,12
58,22,12
57,22,12
58,22,12
58,22,12
57,22,12
58,22,12
59,22,12
57,21,13
57,22,13
58,22,13
58,22,13
57,21,11
58,21,12
59,21,12
57,21,12
58,21,12
58,22,12
57,21,12
58,21,12
58,21,12
58,21,12
58,22,12
57,22,12
57,22,12
58,21,11
58,21,11
58,21,11
58,21,12
58,21,12
57,21,12
57,21,12
58,21,12
58,21,11
58,21,12
55,21,10
56,20,10
55,20,7
47,23,-15
75,25,-1
87,23,6
65,28,-3
61,27,-4
50,26,1
44,25,3
42,23,5
45,22,6
61,21,2
63,20,2
64,21,2
72,24,4
62,25,5
56,27,6
54,26,7
59,23,9
61,21,11
58,19,11
64,19,11
59,20,11
57,19,14
57,16,13
56,16,12
58,17,15
58,17,13
60,17,14
58,16,11
57,17,12
57,18,15
56,19,15
61,20,16
60,20,17
57,19,19
57,19,18
58,19,18
59,18,17
58,17,16
56,19,16
56,20,16
55,20,21
55,19,21
58,16,22
58,17,22
58,18,22
58,18,22
56,18,24
56,20,23
56,19,21
56,14,21
56,14,20
58,14,19
60,14,19
58,13,19
59,13,19
58,12,18
60,11,19
58,10,21
56,8,22
56,8,22
60,7,17
57,8,18
59,9,21
60,9,20
59,8,23
55,8,21
58,8,22
57,8,21
59,9,22
58,9,22
57,7,23
56,7,23
58,7,22
58,7,21
58,7,21
59,8,22
58,8,23
55,8,23
58,7,22
58,7,22
57,7,20
55,8,20
58,12,22
63,11,22
57,13,23
56,13,25
54,14,25
52,16,24
54,20,25
55,20,24
55,19,22
56,18,21
60,19,18
59,21,15
61,23,18
53,23,21
57,24,24
54,23,23
57,22,23
55,23,21
56,22,21
54,17,21
53,16,21
54,16,20
50,19,20
53,16,21
57,18,21
57,20,22
57,24,23
57,28,26
52,27,28
51,24,27
54,21,27
53,19,26
53,16,24
53,14,25
55,15,26
52,20,27
52,20,28
54,28,24
57,24,21
67,20,18
71,19,20
62,24,23
