--, IBI
588.230051,0.812537
589.042588,0.812537
589.855125,0.812537
590.683288,0.828163
591.480200,0.796911
592.292737,0.812537
593.152151,0.859414
593.933437,0.781286
594.730348,0.796911
595.574137,0.843789
596.371048,0.796911
597.214837,0.843789
601.152517,0.796911
605.137075,0.906291
605.902735,0.765660
606.715272,0.812537
607.512183,0.796911
608.293469,0.781286
609.074755,0.781286
609.871666,0.796911
610.668578,0.796911
611.449864,0.781286
612.231149,0.781286
613.028061,0.796911
613.824972,0.796911
617.762653,0.796911
618.543938,0.781286
624.950482,0.796911
625.794270,0.843789
626.606807,0.812537
627.419345,0.812537
712.641995,0.718783
713.345153,0.703157
714.063936,0.718783
714.767093,0.703157
715.470250,0.703157
725.517585,0.703157
726.236368,0.718783
730.549065,0.718783
731.283474,0.734409
732.002257,0.718783
741.612072,0.718783
742.362106,0.750034
746.831060,0.750034
768.566431,0.765660
769.363342,0.796911
770.160254,0.796911
770.972791,0.812537
771.769702,0.796911
772.597865,0.828163
773.410402,0.812537
774.222939,0.812537
775.066728,0.843789
775.910517,0.843789
776.723054,0.812537
777.551217,0.828163
778.363754,0.812537
779.191917,0.828163
780.035706,0.843789
805.724381,0.765660
806.521293,0.796911
807.302579,0.781286
808.115116,0.812537
815.943599,0.781286
816.771762,0.828163
817.490545,0.718783
823.772083,0.781286
824.568994,0.796911
830.069246,0.828163
830.834906,0.765660
831.709946,0.875040
832.459980,0.750034
840.491598,0.812537
841.319761,0.828163
842.147924,0.828163
842.991712,0.843789
843.835501,0.843789
844.679290,0.843789
845.538704,0.859414
846.398118,0.859414
847.241907,0.843789
848.085696,0.843789
848.929484,0.843789
849.742021,0.812537
850.554559,0.812537
851.351470,0.796911
852.148381,0.796911
852.960919,0.812537
853.773456,0.812537
854.601619,0.828163
855.445407,0.843789
856.289196,0.843789
857.132985,0.843789
866.320905,0.828163
867.133442,0.812537
867.977231,0.843789
868.789768,0.812537
869.633557,0.843789
870.461720,0.828163
871.289883,0.828163
872.133671,0.843789
872.977460,0.843789
873.836874,0.859414
874.680663,0.843789
875.524451,0.843789
876.368240,0.843789
877.180777,0.812537
878.024566,0.843789
878.868355,0.843789
879.696517,0.828163
880.649686,0.953169
881.430972,0.781286
913.073045,0.750034
913.885582,0.812537
914.651242,0.765660
915.463780,0.812537
922.104709,0.828163
922.932872,0.828163
923.792286,0.859414
924.667326,0.875040
949.137196,0.828163
949.980985,0.843789
950.824773,0.843789
1000.280162,0.796911
1001.077074,0.796911
1001.889611,0.812537
1002.702148,0.812537
1003.514685,0.812537
1004.342848,0.828163
1005.171011,0.828163
1005.983548,0.812537
1006.811711,0.828163
1007.624248,0.812537
1008.452411,0.828163
1009.296200,0.843789
1010.155614,0.859414
1010.968151,0.812537
1011.811940,0.843789
1045.407228,0.750034
1046.141636,0.734409
1046.938548,0.796911
1047.719834,0.781286
1051.548134,0.781286
1052.329420,0.781286
1053.110705,0.781286
1053.876365,0.765660
1054.673277,0.796911
1055.470188,0.796911
1105.300594,0.781286
1111.644635,0.828163
1112.472798,0.828163
1113.285335,0.812537
1114.097872,0.812537
1114.941661,0.843789
1115.754198,0.812537
1116.597986,0.843789
1117.426149,0.828163
1118.223061,0.796911
1135.380096,0.796911
1136.223885,0.843789
1137.036422,0.812537
1137.848959,0.812537
1138.645871,0.796911
1139.489659,0.843789
1140.302197,0.812537
1141.130359,0.828163
1141.958522,0.828163
1142.786685,0.828163
1143.614848,0.828163
1144.427385,0.812537
1145.255548,0.828163
1146.114963,0.859414
1146.927500,0.812537
1147.771288,0.843789
1148.583826,0.812537
1149.427614,0.843789
1150.255777,0.828163
1151.083940,0.828163
1151.912103,0.828163
1152.755892,0.843789
1153.584054,0.828163
1154.427843,0.843789
1155.287257,0.859414
1156.084169,0.796911
1156.896706,0.812537
1157.709243,0.812537
1158.521780,0.812537
1159.303066,0.781286
1160.099978,0.796911
1160.928141,0.828163
1161.771929,0.843789
1165.912744,0.828163
1179.303982,0.859414
1180.100893,0.796911
1185.085496,0.828163
1185.929285,0.843789
1186.788699,0.859414
